Geo_GEOID,Pop_Poverty
14000US36047053000,1123
14000US36047053101,1488
14000US36047053102,3069
14000US36047053200,555
14000US36047053300,3239
14000US36047053400,923
14000US36047053500,1699
14000US36047053700,1513
14000US36047053800,678
14000US36047053900,1335
14000US36047054200,707
14000US36047054300,0
14000US36047054400,506
14000US36047054500,4350
14000US36047054600,1010
14000US36047054700,1861
14000US36047054800,290
14000US36047054900,1146
14000US36047055000,506
14000US36047055100,689
14000US36047055200,381
14000US36047055300,592
14000US36047055400,457
14000US36047055500,641
14000US36047055600,961
14000US36047055700,171
14000US36047055800,389
14000US36047056000,424
14000US36047056100,132
14000US36047056200,19
14000US36047056301,637
14000US36047056302,256
14000US36047056400,191
14000US36047056500,246
14000US36047056600,322
14000US36047056800,248
14000US36047056900,63
14000US36047057000,226
14000US36047057100,420
14000US36047057200,1551
14000US36047057300,224
14000US36047057400,389
14000US36047057500,419
14000US36047057600,313
14000US36047057800,673
14000US36047057901,303
14000US36047057902,0
14000US36047058000,848
14000US36047058200,282
14000US36047058400,356
14000US36047058600,386
14000US36047058800,180
14000US36047058901,90
14000US36047058902,0
14000US36047059000,339
14000US36047059100,269
14000US36047059200,517
14000US36047059300,307
14000US36047059402,330
14000US36047059403,549
14000US36047059404,704
14000US36047059600,270
14000US36047059800,503
14000US36047060000,569
14000US36047060600,316
14000US36047060800,582
14000US36047061002,555
14000US36047061003,554
14000US36047061004,1042
14000US36047061200,23
14000US36047061600,90
14000US36047062000,108
14000US36047062200,321
14000US36047062600,269
14000US36047062800,348
14000US36047063200,109
14000US36047063600,140
14000US36047063800,104
14000US36047064000,43
14000US36047064200,279
14000US36047064400,423
14000US36047064600,131
14000US36047064800,92
14000US36047065000,163
14000US36047065200,12
14000US36047065400,61
14000US36047065600,70
14000US36047065800,61
14000US36047066000,75
14000US36047066200,102
14000US36047066600,0
14000US36047067000,270
14000US36047067200,54
14000US36047067400,106
14000US36047067600,257
14000US36047067800,240
14000US36047068000,24
14000US36047068200,162
14000US36047068600,79
14000US36047068800,91
14000US36047069000,87
14000US36047069200,26
14000US36047069601,198
14000US36047069602,404
14000US36047069800,11
14000US36047070000,64
14000US36047070201,98
14000US36047070202,0
14000US36047070203,0
14000US36047070601,115
14000US36047070602,0
14000US36047072000,330
14000US36047072200,375
14000US36047072400,112
14000US36047072600,71
14000US36047072800,288
14000US36047073000,28
14000US36047073200,345
14000US36047073400,14
14000US36047073600,450
14000US36047073800,314
14000US36047074000,202
14000US36047074200,345
14000US36047074400,170
14000US36047074600,159
14000US36047074800,374
14000US36047075000,183
14000US36047075200,15
14000US36047075400,107
14000US36047075600,86
14000US36047075800,73
14000US36047076000,505
14000US36047076200,1010
14000US36047076400,833
14000US36047076600,174
14000US36047076800,604
14000US36047077000,451
14000US36047077200,358
14000US36047077400,300
14000US36047077600,287
14000US36047078000,71
14000US36047078200,649
14000US36047078400,298
14000US36047078601,453
14000US36047078602,358
14000US36047078801,379
14000US36047078802,367
14000US36047079001,170
14000US36047079002,840
14000US36047079201,189
14000US36047079202,497
14000US36047079400,305
14000US36047079601,448
14000US36047079602,977
14000US36047079801,159
14000US36047079802,556
14000US36047080000,336
14000US36047080200,417
14000US36047080400,437
14000US36047080600,499
14000US36047080800,716
14000US36047081000,407
14000US36047081400,292
14000US36047081600,329
14000US36047081800,427
14000US36047082000,1081
14000US36047082200,922
14000US36047082400,556
14000US36047082600,448
14000US36047082800,276
14000US36047083000,810
14000US36047083200,170
14000US36047083400,228
14000US36047083600,295
14000US36047083800,136
14000US36047084000,157
14000US36047084600,31
14000US36047084800,134
14000US36047085000,146
14000US36047085200,0
14000US36047085400,363
14000US36047085600,685
14000US36047085800,128
14000US36047086000,173
14000US36047086200,427
14000US36047086400,250
14000US36047086600,354
14000US36047086800,538
14000US36047087000,748
14000US36047087200,605
14000US36047087401,941
14000US36047087600,397
14000US36047087800,490
14000US36047088001,218
14000US36047088002,60
14000US36047088200,448
14000US36047088400,1493
14000US36047088600,956
14000US36047088800,772
14000US36047089000,695
14000US36047089200,1677
14000US36047089400,1345
14000US36047089600,1003
14000US36047089800,372
14000US36047090000,1452
14000US36047090200,1172
14000US36047090600,1386
14000US36047090800,3425
14000US36047091000,1961
14000US36047091200,2220
14000US36047091600,1221
14000US36047091800,584
14000US36047092000,555
14000US36047092200,264
14000US36047092400,702
14000US36047092800,319
14000US36047093000,357
14000US36047093200,172
14000US36047093400,239
14000US36047093600,105
14000US36047093800,211
14000US36047094401,450
14000US36047094402,1242
14000US36047094600,107
14000US36047095000,123
14000US36047095400,340
14000US36047095600,401
14000US36047095800,398
14000US36047096000,0
14000US36047096200,59
14000US36047096400,227
14000US36047096600,344
14000US36047096800,172
14000US36047097000,356
14000US36047097400,447
14000US36047098200,1854
14000US36047098400,43
14000US36047098600,248
14000US36047098800,288
14000US36047099000,228
14000US36047099200,222
14000US36047099400,126
14000US36047099600,130
14000US36047099800,161
14000US36047100400,175
14000US36047100600,273
14000US36047100800,168
14000US36047101000,514
14000US36047101200,298
14000US36047101400,178
14000US36047101600,30
14000US36047101800,117
14000US36047102000,75
14000US36047102200,115
14000US36047102400,297
14000US36047102600,106
14000US36047102801,62
14000US36047102802,0
14000US36047103401,1458
14000US36047103402,0
14000US36047105801,2223
14000US36047105804,1540
14000US36047107001,623
14000US36047107002,0
14000US36047107003,0
14000US36047107800,529
14000US36047109800,583
14000US36047110400,953
14000US36047110600,1738
14000US36047111000,983
14000US36047111600,684
14000US36047111800,913
14000US36047112000,857
14000US36047112200,1050
14000US36047112400,682
14000US36047112600,903
14000US36047112800,1303
14000US36047113000,732
14000US36047113200,194
14000US36047113400,1064
14000US36047114201,377
14000US36047114202,736
14000US36047114400,905
14000US36047114600,527
14000US36047115000,535
14000US36047115200,563
14000US36047115600,1743
14000US36047115800,661
14000US36047116000,574
14000US36047116200,736
14000US36047116400,491
14000US36047116600,360
14000US36047116800,396
14000US36047117000,902
14000US36047117201,532
14000US36047117202,345
14000US36047117400,782
14000US36047117601,428
14000US36047117602,443
14000US36047117800,375
14000US36047118000,0
14000US36047118201,483
14000US36047118202,729
14000US36047118400,854
14000US36047118600,217
14000US36047118800,1018
14000US36047119000,785
14000US36047119200,676
14000US36047119400,2077
14000US36047119600,1233
14000US36047119800,1037
14000US36047120000,818
14000US36047120200,621
14000US36047120801,931
14000US36047120802,1210
14000US36047120803,307
14000US36047121000,2538
14000US36047121400,2073
14000US36047122000,1338
14000US36047123700,3798
14000US36047150200,108
14000US36047152200,65
14000US36047990100,0
14000US36061000100,0
14000US36061000201,1358
14000US36061000202,2033
14000US36061000500,0
14000US36061000600,3974
14000US36061000700,599
14000US36061000800,2542
14000US36061000900,147
14000US36061001001,21
14000US36061001002,2066
14000US36061001200,1043
14000US36061001300,212
14000US36061001401,232
14000US36061001402,672
14000US36061001501,673
14000US36061001502,775
14000US36061001600,1166
14000US36061001800,1577
14000US36061002000,2084
14000US36061002100,79
14000US36061002201,2089
14000US36061002202,464
14000US36061002400,2519
14000US36061002500,2616
14000US36061002601,1176
14000US36061002602,607
14000US36061002700,293
14000US36061002800,1133
14000US36061002901,39
14000US36061002902,1347
14000US36061003001,788
14000US36061003002,560
14000US36061003100,161
14000US36061003200,1298
14000US36061003300,56
14000US36061003400,2092
14000US36061003601,518
