Geo_GEOID,Origin_Native_Born,Origin_Foreign_Born,Origin_Foreign_Origin_Naturalized_Citizen,Origin_Foreign_Origin_Not_a_Citizen
14000US36047011200,3414,2774,1409,1365
14000US36047011400,2235,1561,855,706
14000US36047011600,1428,2166,1032,1134
14000US36047011700,2105,572,395,177
14000US36047011800,659,1446,485,961
14000US36047011900,1151,171,72,99
14000US36047012000,499,714,343,371
14000US36047012100,1551,411,198,213
14000US36047012200,1962,3520,1411,2109
14000US36047012600,1400,1438,820,618
14000US36047012700,3828,490,351,139
14000US36047012801,800,1493,753,740
14000US36047012901,1934,453,257,196
14000US36047012902,2125,429,166,263
14000US36047013000,2921,1694,976,718
14000US36047013100,3490,665,386,279
14000US36047013200,1130,1242,697,545
14000US36047013300,3644,810,330,480
14000US36047013400,2860,1257,716,541
14000US36047013500,3375,639,278,361
14000US36047013600,2827,782,402,380
14000US36047013700,2988,566,275,291
14000US36047013800,1848,1321,900,421
14000US36047013900,3050,600,309,291
14000US36047014000,1274,712,554,158
14000US36047014100,2015,751,349,402
14000US36047014200,1942,1109,703,406
14000US36047014300,2820,852,475,377
14000US36047014500,2971,844,373,471
14000US36047014700,1959,449,243,206
14000US36047014800,854,359,295,64
14000US36047014900,5124,735,340,395
14000US36047015000,1058,540,357,183
14000US36047015100,3631,609,429,180
14000US36047015200,1681,818,669,149
14000US36047015300,2253,369,213,156
14000US36047015400,11,0,0,0
14000US36047015500,3355,638,324,314
14000US36047015700,3320,791,338,453
14000US36047015900,4077,727,284,443
14000US36047016000,2330,1635,934,701
14000US36047016100,2954,641,374,267
14000US36047016200,1793,501,360,141
14000US36047016300,2864,524,317,207
14000US36047016400,1017,247,164,83
14000US36047016500,5371,548,407,141
14000US36047016600,1433,358,289,69
14000US36047016700,4612,810,358,452
14000US36047016800,1136,769,628,141
14000US36047016900,3968,854,402,452
14000US36047017000,1922,1562,946,616
14000US36047017100,3345,724,407,317
14000US36047017200,1587,1675,1155,520
14000US36047017400,1188,1003,700,303
14000US36047017500,0,0,0,0
14000US36047017600,1361,1052,707,345
14000US36047017700,0,0,0,0
14000US36047017800,1477,1596,884,712
14000US36047017900,3167,1181,932,249
14000US36047018000,1753,1765,908,857
14000US36047018100,2907,784,346,438
14000US36047018200,1563,1938,1021,917
14000US36047018300,2253,422,196,226
14000US36047018400,1574,1043,702,341
14000US36047018501,3378,775,381,394
14000US36047018600,1130,1025,622,403
14000US36047018700,1187,301,99,202
14000US36047018800,1541,1295,853,442
14000US36047019000,2484,2279,1274,1005
14000US36047019100,2428,544,254,290
14000US36047019200,1687,1247,664,583
14000US36047019300,4766,1116,528,588
14000US36047019400,1622,2405,1112,1293
14000US36047019500,2865,576,293,283
14000US36047019600,1990,2224,936,1288
14000US36047019700,2929,785,412,373
14000US36047019800,1126,800,533,267
14000US36047019900,2839,593,307,286
14000US36047020000,1293,1124,579,545
14000US36047020100,3264,681,420,261
14000US36047020200,1308,655,442,213
14000US36047020300,1436,390,260,130
14000US36047020400,1297,540,341,199
14000US36047020500,2649,479,318,161
14000US36047020600,1415,896,618,278
14000US36047020700,4007,719,435,284
14000US36047020800,1441,1651,1094,557
14000US36047021000,1717,2250,1048,1202
14000US36047021100,1847,359,193,166
14000US36047021200,1624,2710,1047,1663
14000US36047021300,2564,1549,971,578
14000US36047021400,1423,764,341,423
14000US36047021500,4026,1612,1161,451
14000US36047021600,3109,913,448,465
14000US36047021700,2391,1342,861,481
14000US36047021800,2768,360,294,66
14000US36047021900,2123,1434,864,570
14000US36047022000,3820,956,683,273
14000US36047022100,3095,881,567,314
14000US36047022200,3378,630,467,163
14000US36047022400,4423,1362,747,615
14000US36047022600,1080,1153,571,582
14000US36047022700,3224,570,243,327
14000US36047022800,2661,966,590,376
14000US36047022900,2867,808,409,399
14000US36047023000,3533,718,475,243
14000US36047023100,3039,657,447,210
14000US36047023200,4872,689,466,223
14000US36047023300,4876,1008,500,508
14000US36047023400,3867,696,392,304
14000US36047023500,3846,848,325,523
14000US36047023600,4747,802,599,203
14000US36047023800,2912,722,496,226
14000US36047024000,3824,999,494,505
14000US36047024100,1858,907,401,506
14000US36047024200,2223,645,487,158
14000US36047024300,3058,1064,543,521
14000US36047024400,3028,581,303,278
14000US36047024500,3462,1029,536,493
14000US36047024600,1784,1096,764,332
14000US36047024700,2050,622,325,297
14000US36047024800,1330,1323,696,627
14000US36047024900,2951,1067,555,512
14000US36047025000,675,1178,526,652
14000US36047025100,2995,746,379,367
14000US36047025200,2292,3007,1651,1356
14000US36047025300,2963,533,220,313
14000US36047025400,1621,1792,1226,566
14000US36047025500,4095,1503,871,632
14000US36047025600,1326,1873,1149,724
14000US36047025700,1722,754,349,405
14000US36047025800,1830,2524,1460,1064
14000US36047025901,1763,494,249,245
14000US36047025902,2680,853,409,444
14000US36047026000,1319,1895,1257,638
14000US36047026100,3835,662,328,334
14000US36047026200,1078,1347,781,566
14000US36047026300,1681,334,220,114
14000US36047026400,1664,2930,1716,1214
14000US36047026500,3344,774,524,250
14000US36047026600,1286,2231,1043,1188
14000US36047026700,3095,960,668,292
14000US36047026800,1898,2067,1317,750
14000US36047026900,2611,536,373,163
14000US36047027000,1086,1053,685,368
14000US36047027100,2417,686,472,214
14000US36047027200,1554,2201,1152,1049
14000US36047027300,2644,787,364,423
14000US36047027400,1739,1863,1195,668
14000US36047027500,3403,1035,613,422
14000US36047027600,1277,2369,1234,1135
14000US36047027700,3781,801,444,357
14000US36047027800,1104,2014,1174,840
14000US36047027900,2949,711,195,516
14000US36047028000,755,1074,670,404
14000US36047028100,3721,1043,509,534
14000US36047028200,1639,2123,1450,673
14000US36047028300,3042,821,325,496
14000US36047028400,1580,1952,1103,849
14000US36047028501,301,153,62,91
14000US36047028502,2726,479,189,290
14000US36047028600,2013,3097,1594,1503
14000US36047028700,2396,697,386,311
14000US36047028800,1277,2559,1287,1272
14000US36047028900,2683,936,618,318
14000US36047029000,1784,1796,1325,471
14000US36047029100,2317,674,343,331
14000US36047029200,1200,1833,945,888
14000US36047029300,2762,675,422,253
14000US36047029400,1362,1112,634,478
14000US36047029500,3409,751,457,294
14000US36047029600,2347,3502,2282,1220
14000US36047029700,3822,431,232,199
14000US36047029800,1926,1868,1063,805
14000US36047029900,2077,864,525,339
14000US36047030000,1798,2409,1451,958
14000US36047030100,2045,918,573,345
14000US36047030200,1963,2485,1562,923
14000US36047030300,3669,1245,840,405
14000US36047030400,1746,2443,1392,1051
14000US36047030500,5140,1388,1007,381
14000US36047030600,863,873,567,306
14000US36047030700,4497,1457,996,461
14000US36047030800,1046,934,731,203
14000US36047030900,1653,752,491,261
14000US36047031100,2073,851,422,429
14000US36047031300,3657,1398,882,516
14000US36047031400,2329,2649,2084,565
14000US36047031500,3722,1248,828,420
14000US36047031701,2853,952,511,441
14000US36047031702,2426,889,651,238
14000US36047031900,2219,922,712,210
14000US36047032100,3441,2047,1288,759
14000US36047032300,2118,1388,970,418
14000US36047032500,3214,2862,1816,1046
14000US36047032600,4504,2226,1309,917
14000US36047032700,1576,968,453,515
14000US36047032800,1446,1242,1002,240
14000US36047032900,3738,2367,1656,711
14000US36047033000,3706,1300,914,386
14000US36047033100,2634,1424,1127,297
14000US36047033300,3598,949,672,277
14000US36047033500,2215,819,529,290
14000US36047033600,2457,1986,1333,653
14000US36047033700,2604,1252,842,410
14000US36047033900,2739,1799,1048,751
14000US36047034000,1301,749,623,126
14000US36047034100,2388,668,363,305
14000US36047034200,3902,2162,1686,476
14000US36047034300,4033,1130,762,368
14000US36047034500,1802,1306,804,502
14000US36047034700,2393,957,614,343
14000US36047034800,1335,1550,710,840
14000US36047034900,3694,2451,1362,1089
14000US36047035000,841,2283,2087,196
14000US36047035100,2705,1945,1376,569
14000US36047035200,670,584,499,85
14000US36047035300,3293,2114,1559,555
14000US36047035400,3030,2735,2474,261
14000US36047035500,3307,2324,1399,925
14000US36047035601,1048,1786,1649,137
14000US36047035602,2013,3516,2827,689
14000US36047035700,1593,735,504,231
14000US36047035900,4030,1563,1003,560
14000US36047036001,626,2529,1818,711
14000US36047036002,730,3344,2333,1011
14000US36047036100,1917,870,601,269
14000US36047036200,1342,2513,1220,1293
14000US36047036300,3322,1722,924,798
14000US36047036400,714,1729,833,896
14000US36047036501,2693,724,610,114
14000US36047036502,1142,273,172,101
14000US36047036600,1496,2772,1629,1143
14000US36047036700,876,405,244,161
14000US36047036900,4130,1657,911,746
14000US36047037000,1875,2356,1933,423
14000US36047037100,3495,1216,795,421
14000US36047037300,3775,711,547,164
14000US36047037401,2298,2078,1697,381
14000US36047037402,2055,2882,1814,1068
14000US36047037500,2232,997,538,459
14000US36047037700,3742,799,452,347
14000US36047037900,3569,1091,788,303
14000US36047038100,4658,739,409,330
14000US36047038200,4081,1659,1133,526
14000US36047038300,3840,880,558,322
14000US36047038500,3318,645,417,228
14000US36047038600,1962,1707,976,731
14000US36047038700,2934,948,581,367
14000US36047038800,2323,1771,1409,362
14000US36047038900,1793,1044,560,484
14000US36047039000,1384,1013,828,185
14000US36047039100,1963,1276,667,609
14000US36047039200,1560,1320,950,370
14000US36047039300,3049,841,274,567
14000US36047039400,1649,689,430,259
14000US36047039500,2987,871,373,498
14000US36047039600,1669,389,241,148
14000US36047039700,2435,1118,689,429
14000US36047039800,1320,1558,865,693
14000US36047039900,2914,959,526,433
14000US36047040000,1460,1543,1069,474
14000US36047040100,2259,903,415,488
14000US36047040200,1415,1573,1144,429
14000US36047040300,2513,1016,732,284
14000US36047040400,1127,1332,958,374
